"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000010219.13",719,709,1172,683,1492,584,311,680,784,1138
"ENSG00000010244.19",7585,11898,10597,5786,11091,5318,2841,4983,7157,5551
"ENSG00000010256.11",7962,7766,8909,18256,10953,4943,6772,5863,7625,11742
"ENSG00000010270.14",1360,1612,2552,2863,1722,1156,956,1082,1935,1516
"ENSG00000010278.15",36922,23895,22332,11619,28511,11786,1901,20031,19122,24154
"ENSG00000010282.15",1,1,1,0,0,11,9,0,11,20
"ENSG00000010292.13",4496,4746,5542,3153,28362,3057,1298,3464,3240,2772
"ENSG00000010295.20",848,316,177,884,337,552,631,348,594,828
"ENSG00000010310.9",32,831,116,177,6,155,57,119,114,242
"ENSG00000010318.21",202,236,983,152,157,265,229,379,363,359
"ENSG00000010319.7",113,441,631,493,343,8615,9142,2668,3865,4102
"ENSG00000010322.16",5384,6127,8353,4183,4267,7948,3744,7783,7527,9592
"ENSG00000010327.10",3071,1453,2054,3404,2217,4006,2377,825,4218,4039
"ENSG00000010361.14",406,1233,1189,1227,783,691,676,787,1101,1515
"ENSG00000010379.16",4,2,18,7,1,3,1,0,2,3
"ENSG00000010404.18",524,574,902,308,1350,441,178,298,317,191
"ENSG00000010438.17",1,4,3,4,243,17,13,16,3,31
"ENSG00000010539.12",472,1096,494,558,1133,338,205,472,297,423
"ENSG00000010610.10",3104,1818,2831,1521,6477,2023,669,2157,3995,3779
"ENSG00000010626.15",916,377,981,1040,460,443,185,548,643,726
"ENSG00000010671.16",359,331,469,289,873,253,85,262,293,352
"ENSG00000010704.18",1258,1950,340,178,1014,982,340,1092,839,1033
"ENSG00000010803.16",1225,2755,3467,889,2517,2710,2228,2654,2962,2977
"ENSG00000010810.17",1789,707,1197,967,1908,2145,3073,1146,3515,1926
"ENSG00000010818.10",4348,1275,1600,483,2564,1804,1228,1208,3390,649
"ENSG00000010932.17",892,230,168,170,457,243,128,203,363,565
"ENSG00000011007.12",2720,2522,3337,1998,4174,2965,5530,2543,2961,2082
"ENSG00000011009.11",1967,3640,1557,6683,5033,2108,978,2587,2996,5386
"ENSG00000011021.23",673,797,1068,632,662,1390,1385,1280,1233,1086
"ENSG00000011028.14",13620,4223,952,11061,15429,4417,2649,2965,16870,9146
"ENSG00000011052.21",0,0,0,0,0,0,0,0,0,0
"ENSG00000011083.9",5,13,2,10,10,4,0,7,5,13
